t_s,util_gpu,util_mem,mem_used_mb,power_w,temp_c
0.00020538386888802052,0.0,0.0,2148.25,56.811,27.0
0.10762372496537864,0.0,0.0,2306.25,56.952,28.0
0.21292570396326482,10.0,2.0,2306.25,57.28,27.0
0.3184558870270848,10.0,2.0,2306.25,70.931,27.0
0.42296720086596906,8.0,2.0,2306.25,70.15,28.0
0.5277190399356186,8.0,2.0,2306.25,80.589,27.0
0.6385903679765761,17.0,4.0,2306.25,79.347,28.0
0.7428709070663899,8.0,2.0,2306.25,78.443,28.0
0.8472154480405152,8.0,2.0,2306.25,115.679,29.0
0.9526371690444648,8.0,2.0,2306.25,117.046,28.0
1.0569804799742997,8.0,2.0,2306.25,115.643,28.0
1.1614015409722924,17.0,4.0,2306.25,134.299,28.0
1.2658379040658474,17.0,4.0,2306.25,133.87,28.0
1.3716713329777122,8.0,2.0,2306.25,115.651,28.0
1.476451070047915,8.0,2.0,2306.25,134.054,28.0
1.5810876078903675,8.0,2.0,2306.25,133.644,29.0
1.6855596320237964,8.0,2.0,2306.25,115.042,28.0
1.7901890380308032,17.0,4.0,2306.25,133.447,28.0
1.8950733388774097,17.0,4.0,2306.25,133.093,29.0
1.9994517900049686,8.0,2.0,2306.25,114.547,28.0
2.1038005710579455,8.0,2.0,2306.25,132.423,28.0
2.208257902879268,8.0,2.0,2306.25,132.081,29.0
2.313685585046187,8.0,2.0,2306.25,113.828,28.0
2.4190049639437348,17.0,4.0,2306.25,131.719,28.0
2.5234339870512486,17.0,4.0,2306.25,131.466,29.0
2.628192955860868,8.0,2.0,2306.25,130.524,28.0
2.7333469020668417,8.0,2.0,2306.25,130.093,28.0
2.8396715309936553,8.0,2.0,2306.25,112.185,28.0
2.944080061977729,17.0,4.0,2306.25,129.367,29.0
3.0485797659493983,17.0,4.0,2306.25,128.907,28.0
3.1538110540714115,8.0,2.0,2306.25,111.531,29.0
3.258232926018536,8.0,2.0,2306.25,128.025,29.0
3.3626665379852057,8.0,2.0,2306.25,127.495,28.0
3.46802868694067,8.0,2.0,2306.25,110.139,28.0
3.573172295000404,17.0,4.0,2306.25,126.116,29.0
3.6777805199380964,17.0,4.0,2306.25,125.673,28.0
3.7823000240605325,8.0,2.0,2306.25,109.088,28.0
3.8866263248492032,8.0,2.0,2306.25,125.094,29.0
3.992182889021933,8.0,2.0,2306.25,124.621,29.0
4.096572109963745,8.0,2.0,2306.25,107.977,29.0
4.200752997072414,16.0,4.0,2306.25,123.284,29.0
4.3050652670208365,16.0,4.0,2306.25,122.834,30.0
4.409973607864231,9.0,2.0,2306.25,106.911,28.0
4.515159304952249,9.0,2.0,2306.25,122.459,29.0
4.619565686909482,8.0,2.0,2306.25,122.096,29.0
4.7241973830387,8.0,2.0,2306.25,121.954,28.0
4.833777945954353,16.0,4.0,2306.25,121.438,29.0
4.938107647001743,9.0,2.0,2306.25,106.034,29.0
5.042324134847149,9.0,2.0,2306.25,121.044,30.0
5.146788717946038,8.0,2.0,2306.25,120.492,28.0
5.252021265914664,8.0,2.0,2306.25,105.801,29.0
5.356501577887684,16.0,4.0,2306.25,120.75,30.0
5.460898529971018,16.0,4.0,2306.25,120.119,28.0
5.565777020994574,9.0,2.0,2306.25,105.197,29.0
5.670930807013065,9.0,2.0,2306.25,119.857,29.0
5.7753100788686424,8.0,2.0,2306.25,119.191,28.0
5.880521084880456,8.0,2.0,2306.25,104.524,29.0
5.984959187917411,15.0,4.0,2306.25,118.926,29.0
